Name ,Region ,LGA Name,Venue type ,"Expenditure
1 Jul 22 - 31 Dec 22","Expenditure
1 Jan 23 - 30 Jun 23","Expenditure
01 Jul 22 - 30 Jun 23","Average EGM Numbers  
in June 2023"
SHOPPINGTOWN HOTEL,Metro,City of Manningham,Hotel,9307595,9058677.61,18366272.61,87
SIR HENRY BARKLY HOTEL,Metro,City of Banyule,Hotel,3825102.16,3898246.41,7723348.57,65
SKYWAYS TAVERNER,Metro,City of Moonee Valley,Hotel,13578128.72,11982001.58,25560130.3,96
SOMERVILLE HOTEL,Metro,Shire of Mornington Peninsula,Hotel,3029482.68,2484369.26,5513851.9399999995,39
SOUTH OAKLEIGH CLUB,Metro,City of Glen Eira,Club,0,0,0,0
SPHINX ENTERTAINMENT CENTRE,Country,City of Greater Geelong,Hotel,5508811.86,5056389.55,10565201.41,67
SPORTING LEGENDS CLUB,Country,Shire of Wellington,Club,3769064.28,3640379.64,7409443.92,74
SPORTSPARK GAMING AND ENTERTAINMENT CENT,Country,City of Ballarat,Club,1319686.18,1149025.36,2468711.54,35
SPRINGVALE RSL CLUB,Metro,City of Greater Dandenong,Club,4218146.3,3677019.14,7895165.4399999995,55
ST ALBANS HOTEL,Metro,City of Brimbank,Hotel,6591636.61,5770936.13,12362572.74,50
ST ALBANS SPORTS CLUB,Metro,City of Brimbank,Club,2640408.5,2254211.37,4894619.87,35
ST ARNAUD SPORTING CLUB,Country,Shire of Northern Grampians,Club,763277.71,921058.84,1684336.5499999998,35
ST GEORGE WORKERS CLUB,Country,City of Greater Geelong,Club,1661199.9,1487877.32,3149077.2199999997,35
ST KILDA ARMY & NAVY CLUB,Metro,City of Port Phillip,Club,1606242.51,1475584.16,3081826.67,53
ST KILDA FOOTBALL SOCIAL CLUB,Metro,City of Kingston,Club,908715.87,895243.9,1803959.77,83
STAMFORD HOTEL,Metro,City of Knox,Hotel,7596707.88,6903563.27,14500271.149999999,85
STAR HOTEL (SALE),Country,Shire of Wellington,Hotel,1340635.38,1177578.21,2518213.59,23
STAR HOTEL BRIGHT,Country,Shire of Alpine,Hotel,865181.9,780549.69,1645731.5899999999,18
STAWELL HARNESS RACING CLUB,Country,Shire of Northern Grampians,Club,1606423.8,1557409.11,3163832.91,45
STEEPLES,Metro,Shire of Mornington Peninsula,Club,5522054.51,5059584.03,10581638.54,85
STONEYS CLUB,Country,Shire of Moorabool,Club,2450015.83,1784680.4,4234696.23,40
SUGAR GUM HOTEL,Metro,Shire of Melton,Hotel,7255838.87,6715408.34,13971247.21,70
SUMMERHILL HOTEL,Metro,City of Darebin,Hotel,8183925.55,7467913.11,15651838.66,88
SUNBURY BOWLING CLUB,Metro,City of Hume,Club,2267679.63,2268987.16,4536666.79,78
SUNBURY SOCIAL CLUB,Metro,City of Hume,Club,629847.4,529087.92,1158935.32,38
SUNBURY UNITED SPORTING CLUB,Metro,City of Hume,Club,1350698.16,1169094.57,2519792.73,40
SUNSHINE CITY CLUB,Metro,City of Brimbank,Club,417676.94,336172.2,753849.14,18
SUNSHINE RSL,Metro,City of Brimbank,Club,1975916.64,1764398.65,3740315.29,60
SWAN HILL CLUB,Country,Rural City of Swan Hill,Club,1009888.96,898707.96,1908596.92,42
SWAN HILL RSL,Country,Rural City of Swan Hill,Club,606920.52,650063.21,1256983.73,35
SYLVANIA HOTEL,Metro,City of Hume,Hotel,7171811.36,6453276.01,13625087.370000001,75
TABCORP PARK,Metro,Shire of Melton,Club,5153870.78,4486155.12,9640025.9,80
TANKERVILLE ARMS HOTEL,Metro,City of Yarra,Hotel,2800960.95,2390859.28,5191820.23,49
TAYLORS LAKES FAMILY HOTEL,Metro,City of Brimbank,Hotel,8878801.59,8204637.39,17083438.98,105
TEMPLESTOWE HOTEL,Metro,City of Manningham,Hotel,4308491.51,4126299.41,8434790.92,58
TERMINUS HOTEL,Metro,Shire of Yarra Ranges,Hotel,412806.46,336316.17,749122.63,30
THE BAY & BRIDGE HOTEL,Metro,City of Port Phillip,Hotel,1521651.05,1257862.85,2779513.9000000004,29
THE BEACH,Metro,City of Port Phillip,Hotel,1286466.22,1075801.55,2362267.77,32
THE BENDIGO CLUB,Country,City of Greater Bendigo,Club,1404170.85,1144352.25,2548523.1,60
THE BOROUGH CLUB,Country,City of Greater Bendigo,Club,1740061.49,1521987.95,3262049.44,40
THE BRIDGE HOTEL,Metro,City of Kingston,Hotel,2034458.55,1833208.46,3867667.01,50
THE BROOK ON SNEYDES,Metro,City of Wyndham,Club,4623673.73,4318636.05,8942309.780000001,80
THE BRUNSWICK CLUB,Metro,City of Moreland,Club,775618.63,589079.87,1364698.5,43
The CAMDEN TOWN HOTEL,Metro,City of Glen Eira,Hotel,2801695.09,2621172.89,5422867.98,50
THE CHASE HOTEL,Metro,City of Whitehorse,Hotel,9694532.55,8486925.79,18181458.34,90
THE CLAYTON HOTEL,Metro,City of Monash,Hotel,3274392.94,3240401.75,6514794.6899999995,35
THE CLUB,Metro,Shire of Melton,Club,6098951.98,5373218.75,11472170.73,66
THE COACH AND HORSES,Metro,City of Maroondah,Club,2713484.34,2605128.74,5318613.08,90
THE COVE HOTEL,Metro,City of Kingston,Hotel,4222050.76,3786023.22,8008073.98,53
THE ELSTERNWICK CLUB,Metro,City of Glen Eira,Club,533857.69,482103.02,1015960.71,32
THE FOUNDRY HOTEL COMPLEX,Country,City of Greater Bendigo,Hotel,863706.01,756374.59,1620080.6,25
THE INTERNATIONAL,Metro,Shire of Yarra Ranges,Club,3592504.32,3250487.16,6842991.48,80
THE JIM DANDY HOTEL,Metro,City of Greater Dandenong,Hotel,0,0,0,0
THE LAKES ENTERTAINMENT CENTRE,Country,Shire of East Gippsland,Club,1878157.57,1895467.02,3773624.59,41
THE MEETING PLACE,Metro,City of Melbourne,Club,4068245.09,4932302.99,9000548.08,76
THE MOONEE PONDS CLUB,Metro,City of Moonee Valley,Club,1512281.55,1187864.25,2700145.8,50
THE OLD TOWN 'N' COUNTRY TAVERN,Country,Rural City of Wangaratta,Hotel,1281963.06,1051941.74,2333904.8,35
THE ORBOST CLUB,Country,Shire of East Gippsland,Club,489243.21,364367.74,853610.95,24
THE PHOENIX HOTEL,Metro,City of Wyndham,Hotel,4120161.84,3811488.77,7931650.609999999,50
THE PINK HILL HOTEL,Metro,Shire of Cardinia,Hotel,688657.43,1480733.68,2169391.11,60
THE PRINCE OF WALES HOTEL - RICHMOND,Metro,City of Yarra,Hotel,2458531.02,2363656.27,4822187.29,40
THE REX,Metro,City of Port Phillip,Club,2422871.89,2218677.26,4641549.15,57
"THE RICHMOND HENTY HOTEL, PORTLAND",Country,Shire of Glenelg,Hotel,1544924.02,1636273.7,3181197.7199999997,32
THE RICHMOND SOCIAL,Metro,City of Yarra,Hotel,1779332.95,1716443.73,3495776.6799999997,31
THE ROYAL HOTEL FERNTREE GULLY,Metro,City of Knox,Hotel,3371049.34,3239788.94,6610838.279999999,69
THE SALE RSL & COMMUNITY SUB-BRANCH,Country,Shire of Wellington,Club,857369.67,762868.84,1620238.51,36
THE SETTLEMENT AT CRANBOURNE,Metro,City of Casey,Hotel,7155915.65,6101707.48,13257623.13,52
THE TIGERS CLUBHOUSE,Metro,City of Wyndham,Club,7636455.59,7129217.52,14765673.11,85
THE VALE HOTEL,Metro,City of Monash,Hotel,5050460.66,4619588.38,9670049.04,55
THE VIC INN,Metro,City of Hobsons Bay,Club,1526254.41,1678544.67,3204799.08,60
THE YARRAM COUNTRY CLUB,Country,Shire of Wellington,Club,1403098.35,1328192.66,2731291.01,37
TOORADIN & DISTRICT SPORTS CLUB,Metro,City of Casey,Club,1275837.95,934876.32,2210714.27,46
TORQUAY HOTEL,Country,Shire of Surf Coast,Hotel,1550994.04,1522444.52,3073438.56,45
TOWER HOTEL,Metro,City of Boroondara,Hotel,1405006.56,1478266.58,2883273.14,33
TRARALGON BOWLS CLUB,Country,City of Latrobe,Club,3769152.24,3149852.48,6919004.720000001,59
TRARALGON RSL,Country,City of Latrobe,Club,1735055.42,1335737.54,3070792.96,37
TRIOS SPORTS CLUB,Metro,City of Casey,Club,6974339.39,6249831.95,13224171.34,75
TUDOR INN HOTEL,Metro,City of Kingston,Hotel,3098066.53,2756585.7,5854652.23,47
UNION CLUB HOTEL,Country,Shire of Colac-Otway,Hotel,1464302.92,1593603.07,3057905.99,22
UPPER YARRA RSL,Metro,Shire of Yarra Ranges,Club,806268.61,780268.56,1586537.17,30
VALLEY INN HOTEL,Country,City of Greater Geelong,Hotel,1180242.41,1198301.27,2378543.6799999997,29
VEGAS AT WAVERLEY GARDENS,Metro,City of Monash,Club,5589704.07,5903595.85,11493299.92,75
VENETO CLUB,Metro,City of Manningham,Club,2703797.5,2633441.38,5337238.88,90
VICTORIA HOTEL (SHEPPARTON),Country,City of Greater Shepparton,Hotel,3890227.86,3594325.21,7484553.07,40
VICTORIAN TAVERN,Country,Shire of Macedon Ranges,Hotel,2684528.82,2523803.18,5208332,50
VILLAGE BELLE HOTEL,Metro,City of Port Phillip,Hotel,1382489.29,1233880.52,2616369.81,31
VILLAGE GREEN HOTEL,Metro,City of Monash,Hotel,6616328.95,5708001.76,12324330.71,78
VINE HOTEL RICHMOND,Metro,City of Yarra,Hotel,2147562.54,1726357.88,3873920.42,26
WALTZING MATILDA HOTEL,Metro,City of Greater Dandenong,Hotel,8337712.56,7367682.6,15705395.16,71
WANGARATTA CLUB,Country,Rural City of Wangaratta,Club,799447,663419.77,1462866.77,25
WANGARATTA RSL,Country,Rural City of Wangaratta,Club,1335274.18,1174049.38,2509323.5599999996,50
WANTIRNA CLUB,Metro,City of Knox,Club,2377439.7,2237144.52,4614584.220000001,97
WANTIRNA HILL CLUB,Metro,City of Knox,Club,2376082.61,2063693.1,4439775.71,60
WARRAGUL CLUB,Country,Shire of Baw Baw,Club,3304179.27,2991928.94,6296108.21,100
WARRAGUL COUNTRY CLUB,Country,Shire of Baw Baw,Club,4080818.91,3540168.3,7620987.21,80
WARRNAMBOOL BOWLS CLUB,Country,City of Warrnambool,Club,1691767.14,1671766.5,3363533.6399999997,40
WARRNAMBOOL FOOTBALL CLUB SOCIAL CLUB,Country,City of Warrnambool,Club,1219139.09,1619809.59,2838948.68,40
WARRNAMBOOL RSL,Country,City of Warrnambool,Club,505413.16,599900.89,1105314.05,24
WATERGARDENS HOTEL,Metro,City of Brimbank,Hotel,10059647.54,9124716.08,19184363.619999997,76
WATERLOO CUP HOTEL,Metro,City of Moonee Valley,Hotel,5974097.61,5167668.52,11141766.129999999,70
WATSONIA RSL,Metro,City of Banyule,Club,4134002.15,3939832.45,8073834.6,102
WAURN PONDS HOTEL,Country,City of Greater Geelong,Hotel,4370167.27,4271668.32,8641835.59,81
WAVERLEY RSL CLUB,Metro,City of Monash,Club,2609605.7,2407806.37,5017412.07,67
WERRIBEE PLAZA TAVERN,Metro,City of Wyndham,Hotel,8770022.02,7514805.45,16284827.469999999,80
WERRIBEE RSL,Metro,City of Wyndham,Club,1556117.26,1304665.19,2860782.45,60
WEST HEIDELBERG RSL,Metro,City of Banyule,Club,639876.73,658653.6,1298530.33,31
WEST SIDE HORSHAM,Country,Rural City of Horsham,Club,1119604.25,1124340.03,2243944.2800000003,34
WEST WATERS HOTEL,Metro,Shire of Melton,Hotel,9038825.41,8619287.23,17658112.64,90
WESTEND MARKET HOTEL,Metro,City of Brimbank,Hotel,8173674.48,7941444.74,16115119.22,78
WESTERNPORT HOTEL,Metro,Shire of Mornington Peninsula,Hotel,2327133.61,2221226.47,4548360.08,40
WESTMEADOWS TAVERN,Metro,City of Hume,Hotel,3105331.83,2908360.21,6013692.04,40
WESTSIDE TAVERNER,Metro,City of Wyndham,Hotel,5776735.26,5234141.33,11010876.59,70
WHALERS HOTEL,Country,City of Warrnambool,Hotel,1987662.67,1888163.03,3875825.7,34
WHEELERS HILL HOTEL,Metro,City of Monash,Hotel,2397352.36,2349547.04,4746899.4,40
WHITTLESEA BOWLS CLUB,Metro,City of Whittlesea,Club,2405182.83,2160530.86,4565713.6899999995,50
WINDERMERE HOTEL,Country,City of Greater Bendigo,Hotel,3852370.63,3361397.08,7213767.71,40
WONTHAGGI CLUB,Country,Shire of Bass Coast,Club,3390345.45,3293513.29,6683858.74,68
WONTHAGGI GOLF CLUB,Country,Shire of Bass Coast,Club,278586.89,283237.96,561824.8500000001,15
WONTHAGGI WORKMEN'S CLUB,Country,Shire of Bass Coast,Club,1973661.35,2253010.32,4226671.67,55
YARRA VALLEY COUNTRY CLUB,Metro,City of Manningham,Club,0,0,0,0
YARRAVILLE CLUB,Metro,City of Maribyrnong,Club,4142968.34,3570832.71,7713801.05,103
YARRAVILLE CLUB CRICKET CLUB,Metro,City of Maribyrnong,Club,7547227.08,6290213.1,13837440.18,76
YARRAVILLE-FOOTSCRAY BOWLING CLUB,Metro,City of Maribyrnong,Club,1053094.43,862764,1915858.43,29
YORK ON LILYDALE TAVERNER RESORT,Metro,Shire of Yarra Ranges,Hotel,3123540.69,2632247.52,5755788.21,70
ZAGAME'S CAULFIELD CLUB HOTEL,Metro,City of Glen Eira,Hotel,6285224.83,5632006.71,11917231.54,100
,,,,1579716863.1399999,1441948006.18,3021664869.32,26284
,,,,,,,
,,,,,,,
Published: 28 July 2023,,,,,,,
