LGA Name,LGA,Region,TOTAL Net Expenditure ($),SEIFA DIS Score, SEIFADIS Rank State,SEIFA DIS RANK COUNTRY,SEIFA DIS RANK METRO,SEIFA ADVDIS Score,SEIFA ADVDIS Rank State,SEIFA ADVDIS RANK COUNTRY,SEIFA ADVDIS RANK METRO,Adult Population 2022,Adults per Venue 2022,"EGMs per 1,000 Adults 2022",EXP per Adult 2022,Unemployed Workforce as at June 2022,as at June 2022,Unemployment rate as at June 2022
City of Whittlesea,M26,Metro,137846028.25,989.6036133,31,0,5,980.8227931,41,0,5,193914.17499444837,19391.417499444837,3.5582752009735965,710.8610201082331,127420,5385,0.042261811332600846
Shire of Nillumbik,M16,Metro,9600842.33,1092.873619,80,0,31,1088.097268,74,0,25,50900.776432809624,25450.388216404812,1.7681459165716733,188.618779571533,39504,491,0.012429121101660591
RURAL CITY OF ARARAT,C43,Country,6245500.420000001,955.2148339,15,12,0,931.8990008,18,16,0,9899.68509241402,4949.84254620701,8.889171643190254,630.8786958067822,6239,269,0.043115883955762144
Shire of Northern Grampians,C14,Country,4848169.46,951.3008393,12,9,0,920.6550335,6,5,0,9108.236756444312,4554.118378222156,8.783258729347143,532.2840841362403,6540,258,0.03944954128440367
Borough of Queenscliffe,C1,Country,1464203.2,1082.243248,75,47,0,1067.199476,69,47,0,2600.7975131581625,2600.7975131581625,11.534923364168723,562.9823900523536,1727,23,0.013317892298784018
City of Greater Geelong,C21,Country,134132429.85,1007.331026,46,38,0,989.5729385,49,42,0,222141.30136576225,8885.65205463049,6.023193308825284,603.8158101412531,153557,4916,0.03201417063370605
SHIRE OF CORANGAMITE,C3,Country,3131439.24,984.5903646,26,23,0,954.628077,26,23,0,12452.089337853125,6226.044668926563,4.5775450571757155,251.47902131417683,8927,157,0.017587095328777867
Shire of Colac-Otway,C18,Country,7891465.21,972.58665,21,18,0,938.0508911,19,17,0,17283.259946971746,3456.651989394349,6.306680587715064,456.5958756746402,12514,242,0.019338341058015022
SHIRE OF HEPBURN,C26,Country,3471730.59,1006.251286,45,37,0,983.9111418,43,37,0,13500.437036069756,6750.218518034878,4.222085540468831,257.1569039375846,8085,148,0.018305504019789733
Shire of Moorabool,C22,Country,11037347.540000001,1017.233908,51,40,0,987.1572238,46,39,0,29448.026335430484,9816.008778476828,3.7353946491026178,374.8077176472904,21668,766,0.035351670666420525
